replicate,A_rgb_only__auroc,A_rgb_only__pr_auc,A_rgb_only__f1_at_locked_threshold,A_rgb_only__false_match_rate_at_locked_90_recall_threshold,A_rgb_only__achieved_recall_at_locked_90_recall_threshold,B_rgb_2d__auroc,B_rgb_2d__pr_auc,B_rgb_2d__f1_at_locked_threshold,B_rgb_2d__false_match_rate_at_locked_90_recall_threshold,B_rgb_2d__achieved_recall_at_locked_90_recall_threshold,C_rgb_2d_3d__auroc,C_rgb_2d_3d__pr_auc,C_rgb_2d_3d__f1_at_locked_threshold,C_rgb_2d_3d__false_match_rate_at_locked_90_recall_threshold,C_rgb_2d_3d__achieved_recall_at_locked_90_recall_threshold,geometry_only__auroc,geometry_only__pr_auc,geometry_only__f1_at_locked_threshold,geometry_only__false_match_rate_at_locked_90_recall_threshold,geometry_only__achieved_recall_at_locked_90_recall_threshold
810,0.739121748179,0.742161020246,0.697892271663,0.545265348595,0.862,0.821818938606,0.807772806063,0.767037861915,0.39646201873,0.856,0.882152965661,0.881919030317,0.798982188295,0.336108220604,0.887,0.852257023933,0.845168673575,0.80120741699,0.39646201873,0.926
811,0.741972881356,0.771104432974,0.698689956332,0.531073446328,0.845,0.834137853107,0.829287631905,0.788719371244,0.346892655367,0.848,0.888868926554,0.899383015106,0.818262411348,0.282485875706,0.86,0.869953672316,0.87062953478,0.819954648526,0.329943502825,0.899
812,0.710500474834,0.695633658591,0.672839506173,0.612535612536,0.872,0.80208357075,0.769731981792,0.738903394256,0.423551756885,0.844,0.861884140551,0.849616354113,0.773067331671,0.357075023742,0.874,0.837844254511,0.816257324763,0.775319148936,0.405508072175,0.906
813,0.718684945165,0.732442411653,0.663829787234,0.543369890329,0.827,0.815032901296,0.79233662766,0.765667574932,0.353938185444,0.834,0.881764705882,0.87451289178,0.797940797941,0.293120638086,0.858,0.87210667996,0.862727907552,0.807250221043,0.338983050847,0.91
814,0.725018375242,0.729201027232,0.668534080299,0.588007736944,0.839,0.823647001934,0.795650730025,0.752113929684,0.385880077369,0.843,0.885244680851,0.882062570899,0.790838375108,0.293036750484,0.859,0.865278529981,0.847163544466,0.792800702371,0.34912959381,0.895
815,0.787865617433,0.801511350679,0.744532803181,0.476997578692,0.885,0.843285714286,0.86880977871,0.786309784993,0.463680387409,0.895,0.880423728814,0.90515010691,0.807078118256,0.365617433414,0.89,0.827334140436,0.846675517269,0.803314435238,0.443099273608,0.916
816,0.72819858782,0.726356246763,0.659420289855,0.60105913504,0.839,0.833077669903,0.795862248538,0.746773475745,0.356575463372,0.835,0.897621359223,0.88387243121,0.784347086346,0.277140335393,0.876,0.877190644307,0.850358457168,0.787381158168,0.341571050309,0.906
817,0.702042194093,0.666107652761,0.637323943662,0.632067510549,0.852,0.77384978903,0.724143568768,0.69237012987,0.514767932489,0.852,0.83495443038,0.81052209976,0.727419354839,0.384810126582,0.836,0.803324050633,0.761867423909,0.72630283135,0.452320675105,0.874
818,0.730917364017,0.758711222538,0.679764243615,0.548117154812,0.818,0.878470711297,0.860436485151,0.800775569559,0.242677824268,0.825,0.936492677824,0.936745330636,0.862132352941,0.178870292887,0.895,0.934195606695,0.926020582881,0.880186480186,0.196652719665,0.936
819,0.706195721925,0.731118427543,0.659168704156,0.55614973262,0.808,0.802735828877,0.784936720031,0.759030635574,0.378609625668,0.824,0.885901604278,0.886530469674,0.81338028169,0.28449197861,0.848,0.884840641711,0.878944472793,0.824955116697,0.319786096257,0.91
