dataset,condition_id,translation_std_scene_units,rotation_std_degrees,split,auroc,pr_auc,false_match_rate,recall,f1,test_noise_minus_clean_auroc,test_paired_ci_low,test_paired_ci_high
movi_e,N_t0p05_r0,0.05,0.0,dev,0.991691,0.992535432849,0.012,0.902,0.952040816327,,,
movi_e,N_t0p05_r0,0.05,0.0,test,0.994225,0.994797495415,0.007,0.914,0.959070237494,4.2e-05,-7.0428134e-05,0.000189252485
movi_e,N_t0p05_r0p1,0.05,0.1,dev,0.991756,0.992585934146,0.01,0.903,0.951070336391,,,
movi_e,N_t0p05_r0p1,0.05,0.1,test,0.994221,0.994794919413,0.007,0.917,0.960121150934,3.8e-05,-0.000110003264,0.000187187187
movi_e,N_t0p05_r0p5,0.05,0.5,dev,0.991703,0.992529507952,0.011,0.904,0.952575216726,,,
movi_e,N_t0p05_r0p5,0.05,0.5,test,0.994145,0.99471744499,0.008,0.912,0.957974683544,-3.8e-05,-0.00025752718,0.000159521126
movi_e,N_t0p05_r1,0.05,1.0,dev,0.991806,0.992616388731,0.012,0.901,0.952623535405,,,
movi_e,N_t0p05_r1,0.05,1.0,test,0.994184,0.99480837955,0.009,0.916,0.959677419355,1e-06,-0.000360568906,0.000421019991
movi_e,N_t0p05_r2,0.05,2.0,dev,0.991483,0.992248444267,0.011,0.9,0.949515553289,,,
movi_e,N_t0p05_r2,0.05,2.0,test,0.993524,0.99410909628,0.011,0.904,0.956477732794,-0.000659,-0.001158374668,-0.000271453314
movi_e,N_t0p05_r5,0.05,5.0,dev,0.985036,0.986240332119,0.014,0.849,0.935666495111,,,
movi_e,N_t0p05_r5,0.05,5.0,test,0.99095,0.991534574428,0.011,0.866,0.943473792395,-0.003233,-0.004807015243,-0.001889211313
movi_e,N_t0p1_r0,0.1,0.0,dev,0.991561,0.992333379095,0.013,0.902,0.952040816327,,,
movi_e,N_t0p1_r0,0.1,0.0,test,0.994118,0.99471754745,0.007,0.913,0.95919395466,-6.5e-05,-0.000287719488,0.000184446292
movi_e,N_t0p1_r0p1,0.1,0.1,dev,0.991922,0.992677022467,0.012,0.902,0.951120162933,,,
movi_e,N_t0p1_r0p1,0.1,0.1,test,0.994004,0.994601797943,0.008,0.912,0.960606060606,-0.000179,-0.000414667179,0.000112684561
movi_e,N_t0p1_r0p5,0.1,0.5,dev,0.992033,0.992813570873,0.01,0.904,0.950636132316,,,
movi_e,N_t0p1_r0p5,0.1,0.5,test,0.994065,0.994636921999,0.009,0.915,0.957005563986,-0.000118,-0.000456543525,0.000143018383
movi_e,N_t0p1_r1,0.1,1.0,dev,0.991423,0.992298051787,0.012,0.903,0.948979591837,,,
movi_e,N_t0p1_r1,0.1,1.0,test,0.993885,0.994506802895,0.008,0.908,0.959432048682,-0.000298,-0.000590831587,-7.292162e-05
movi_e,N_t0p1_r2,0.1,2.0,dev,0.990974,0.991713441245,0.012,0.895,0.949515553289,,,
movi_e,N_t0p1_r2,0.1,2.0,test,0.993693,0.9942541664,0.009,0.907,0.957974683544,-0.00049,-0.00116644962,4.000004e-06
movi_e,N_t0p1_r5,0.1,5.0,dev,0.983785,0.985535829295,0.016,0.844,0.928905033731,,,
movi_e,N_t0p1_r5,0.1,5.0,test,0.989868,0.990699889662,0.011,0.869,0.940329218107,-0.004315,-0.006408199964,-0.002599193904
movi_e,N_t0p25_r0,0.25,0.0,dev,0.990088,0.990955372591,0.012,0.892,0.945380296069,,,
movi_e,N_t0p25_r0,0.25,0.0,test,0.993926,0.994511243058,0.008,0.904,0.960040465352,-0.000257,-0.00075275279,0.000159327102
movi_e,N_t0p25_r0p1,0.25,0.1,dev,0.990854,0.99167268221,0.009,0.896,0.945641025641,,,
movi_e,N_t0p25_r0p1,0.25,0.1,test,0.993225,0.99378719886,0.013,0.901,0.955555555556,-0.000958,-0.001972939973,-0.000218337195
movi_e,N_t0p25_r0p5,0.25,0.5,dev,0.991332,0.992079807555,0.01,0.893,0.950484941297,,,
movi_e,N_t0p25_r0p5,0.25,0.5,test,0.992589,0.993140644066,0.013,0.899,0.952332657201,-0.001594,-0.003082052111,-0.000642996926
movi_e,N_t0p25_r1,0.25,1.0,dev,0.990146,0.990924012017,0.011,0.895,0.950101832994,,,
movi_e,N_t0p25_r1,0.25,1.0,test,0.993081,0.993666976052,0.012,0.902,0.958059626074,-0.001102,-0.002102315154,-0.000366353614
movi_e,N_t0p25_r2,0.25,2.0,dev,0.98914,0.989989964919,0.013,0.874,0.941961992809,,,
movi_e,N_t0p25_r2,0.25,2.0,test,0.991607,0.992176902641,0.021,0.896,0.954591321897,-0.002576,-0.004362935702,-0.001225191453
movi_e,N_t0p25_r5,0.25,5.0,dev,0.984108,0.985464544203,0.018,0.86,0.928865979381,,,
movi_e,N_t0p25_r5,0.25,5.0,test,0.986169,0.987358083505,0.016,0.856,0.934156378601,-0.008014,-0.011644502741,-0.005010973655
movi_e,N_t0p5_r0,0.5,0.0,dev,0.982435,0.982665217206,0.021,0.832,0.919958419958,,,
movi_e,N_t0p5_r0,0.5,0.0,test,0.986574,0.987220485159,0.017,0.85,0.930088037286,-0.007609,-0.011319593807,-0.004463510284
movi_e,N_t0p5_r0p1,0.5,0.1,dev,0.982338,0.982889690219,0.025,0.839,0.919003115265,,,
movi_e,N_t0p5_r0p1,0.5,0.1,test,0.987611,0.988421085357,0.015,0.841,0.937242798354,-0.006572,-0.009154039555,-0.004277497378
movi_e,N_t0p5_r0p5,0.5,0.5,dev,0.98411,0.985203179478,0.018,0.844,0.92394655704,,,
movi_e,N_t0p5_r0p5,0.5,0.5,test,0.987046,0.987312996655,0.016,0.849,0.929272070212,-0.007137,-0.010873203301,-0.00427805401
movi_e,N_t0p5_r1,0.5,1.0,dev,0.982519,0.98307621171,0.018,0.829,0.921793534932,,,
movi_e,N_t0p5_r1,0.5,1.0,test,0.988857,0.989636826197,0.013,0.847,0.940144478844,-0.005326,-0.008360740746,-0.003152183143
movi_e,N_t0p5_r2,0.5,2.0,dev,0.981797,0.982499253849,0.019,0.828,0.921721099015,,,
movi_e,N_t0p5_r2,0.5,2.0,test,0.985516,0.986251718393,0.012,0.832,0.921802175039,-0.008667,-0.013379965053,-0.005241141556
movi_e,N_t0p5_r5,0.5,5.0,dev,0.971913,0.973254659972,0.027,0.798,0.90057864282,,,
movi_e,N_t0p5_r5,0.5,5.0,test,0.977072,0.977839319155,0.02,0.773,0.900843881857,-0.017111,-0.024285454092,-0.011294702109
