dataset,stratum_variable,stratum_level,system,pairs,positives,negatives,auroc,pr_auc,false_match_rate,recall,threshold_source
movi_d,dynamic_status,dynamic-static,G_pose_aligned_geometry_only,410,0,410,,,0.08292682926829269,,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,P_pose_only,410,0,410,,,1.0,,development_locked_90_recall
movi_d,dynamic_status,dynamic-static,S_shuffled_pose,410,0,410,,,0.026829268292682926,,development_locked_90_recall
movi_d,dynamic_status,static-static,A_rgb,1357,803,554,0.9672167998165724,0.9809701979100224,0.18592057761732853,0.9464508094645081,development_locked_90_recall
movi_d,dynamic_status,static-static,B_rgb_2d,1357,803,554,0.9904936811865253,0.993593307296592,0.07581227436823104,0.9651307596513076,development_locked_90_recall
movi_d,dynamic_status,static-static,C_camera_geometry,1357,803,554,0.9942656374336312,0.9961073595457787,0.04693140794223827,0.9551681195516812,development_locked_90_recall
movi_d,dynamic_status,static-static,D_pose_aligned_geometry,1357,803,554,0.9950254236145142,0.9967110110870248,0.02888086642599278,0.9464508094645081,development_locked_90_recall
movi_d,dynamic_status,static-static,G_camera_geometry_only,1357,803,554,0.996428105794606,0.9975509515584751,0.030685920577617327,0.962640099626401,development_locked_90_recall
movi_d,dynamic_status,static-static,G_pose_aligned_geometry_only,1357,803,554,0.9955087195579753,0.9970736307008591,0.023465703971119134,0.9576587795765878,development_locked_90_recall
movi_d,dynamic_status,static-static,P_pose_only,1357,803,554,0.5,0.5917464996315401,1.0,1.0,development_locked_90_recall
movi_d,dynamic_status,static-static,S_shuffled_pose,1357,803,554,0.9946005727618902,0.9963350358932732,0.05415162454873646,0.958904109589041,development_locked_90_recall
movi_d,label,negative,A_rgb,1000,0,1000,,,0.168,,development_locked_90_recall
movi_d,label,negative,B_rgb_2d,1000,0,1000,,,0.067,,development_locked_90_recall
movi_d,label,negative,C_camera_geometry,1000,0,1000,,,0.034,,development_locked_90_recall
movi_d,label,negative,D_pose_aligned_geometry,1000,0,1000,,,0.032,,development_locked_90_recall
movi_d,label,negative,G_camera_geometry_only,1000,0,1000,,,0.034,,development_locked_90_recall
movi_d,label,negative,G_pose_aligned_geometry_only,1000,0,1000,,,0.057,,development_locked_90_recall
movi_d,label,negative,P_pose_only,1000,0,1000,,,1.0,,development_locked_90_recall
movi_d,label,negative,S_shuffled_pose,1000,0,1000,,,0.041,,development_locked_90_recall
movi_d,label,positive,A_rgb,1000,1000,0,,,,0.882,development_locked_90_recall
movi_d,label,positive,B_rgb_2d,1000,1000,0,,,,0.9,development_locked_90_recall
movi_d,label,positive,C_camera_geometry,1000,1000,0,,,,0.881,development_locked_90_recall
movi_d,label,positive,D_pose_aligned_geometry,1000,1000,0,,,,0.875,development_locked_90_recall
movi_d,label,positive,G_camera_geometry_only,1000,1000,0,,,,0.878,development_locked_90_recall
movi_d,label,positive,G_pose_aligned_geometry_only,1000,1000,0,,,,0.885,development_locked_90_recall
movi_d,label,positive,P_pose_only,1000,1000,0,,,,1.0,development_locked_90_recall
movi_d,label,positive,S_shuffled_pose,1000,1000,0,,,,0.879,development_locked_90_recall
movi_d,negative_difficulty,easy,A_rgb,500,0,500,,,0.118,,development_locked_90_recall
movi_d,negative_difficulty,easy,B_rgb_2d,500,0,500,,,0.068,,development_locked_90_recall
movi_d,negative_difficulty,easy,C_camera_geometry,500,0,500,,,0.028,,development_locked_90_recall
movi_d,negative_difficulty,easy,D_pose_aligned_geometry,500,0,500,,,0.026,,development_locked_90_recall
movi_d,negative_difficulty,easy,G_camera_geometry_only,500,0,500,,,0.028,,development_locked_90_recall
movi_d,negative_difficulty,easy,G_pose_aligned_geometry_only,500,0,500,,,0.03,,development_locked_90_recall
movi_d,negative_difficulty,easy,P_pose_only,500,0,500,,,1.0,,development_locked_90_recall
movi_d,negative_difficulty,easy,S_shuffled_pose,500,0,500,,,0.032,,development_locked_90_recall
movi_d,negative_difficulty,hard,A_rgb,500,0,500,,,0.218,,development_locked_90_recall
movi_d,negative_difficulty,hard,B_rgb_2d,500,0,500,,,0.066,,development_locked_90_recall
movi_d,negative_difficulty,hard,C_camera_geometry,500,0,500,,,0.04,,development_locked_90_recall
movi_d,negative_difficulty,hard,D_pose_aligned_geometry,500,0,500,,,0.038,,development_locked_90_recall
movi_d,negative_difficulty,hard,G_camera_geometry_only,500,0,500,,,0.04,,development_locked_90_recall
movi_d,negative_difficulty,hard,G_pose_aligned_geometry_only,500,0,500,,,0.084,,development_locked_90_recall
movi_d,negative_difficulty,hard,P_pose_only,500,0,500,,,1.0,,development_locked_90_recall
movi_d,negative_difficulty,hard,S_shuffled_pose,500,0,500,,,0.05,,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,A_rgb,1000,1000,0,,,,0.882,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,B_rgb_2d,1000,1000,0,,,,0.9,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,C_camera_geometry,1000,1000,0,,,,0.881,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,D_pose_aligned_geometry,1000,1000,0,,,,0.875,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,G_camera_geometry_only,1000,1000,0,,,,0.878,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,G_pose_aligned_geometry_only,1000,1000,0,,,,0.885,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,P_pose_only,1000,1000,0,,,,1.0,development_locked_90_recall
movi_d,negative_difficulty,positive_not_applicable,S_shuffled_pose,1000,1000,0,,,,0.879,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,A_rgb,2000,1000,1000,0.935493,0.9519546066236559,0.168,0.882,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,B_rgb_2d,2000,1000,1000,0.971199,0.9757324269875365,0.067,0.9,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,C_camera_geometry,2000,1000,1000,0.9833369999999999,0.984805570073246,0.034,0.881,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,D_pose_aligned_geometry,2000,1000,1000,0.984952,0.986031173742056,0.032,0.875,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,G_camera_geometry_only,2000,1000,1000,0.9796170000000001,0.9821920786267612,0.034,0.878,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,G_pose_aligned_geometry_only,2000,1000,1000,0.979247,0.9806294231548343,0.057,0.885,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,P_pose_only,2000,1000,1000,0.5,0.5,1.0,1.0,development_locked_90_recall
movi_d,camera_displacement_scene_units,zero,S_shuffled_pose,2000,1000,1000,0.982156,0.983948905178635,0.041,0.879,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,A_rgb,2000,1000,1000,0.935493,0.9519546066236559,0.168,0.882,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,B_rgb_2d,2000,1000,1000,0.971199,0.9757324269875365,0.067,0.9,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,C_camera_geometry,2000,1000,1000,0.9833369999999999,0.984805570073246,0.034,0.881,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,D_pose_aligned_geometry,2000,1000,1000,0.984952,0.986031173742056,0.032,0.875,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,G_camera_geometry_only,2000,1000,1000,0.9796170000000001,0.9821920786267612,0.034,0.878,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,G_pose_aligned_geometry_only,2000,1000,1000,0.979247,0.9806294231548343,0.057,0.885,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,P_pose_only,2000,1000,1000,0.5,0.5,1.0,1.0,development_locked_90_recall
movi_d,relative_camera_rotation_degrees,zero,S_shuffled_pose,2000,1000,1000,0.982156,0.983948905178635,0.041,0.879,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,A_rgb,2000,1000,1000,0.935493,0.9519546066236559,0.168,0.882,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,B_rgb_2d,2000,1000,1000,0.971199,0.9757324269875365,0.067,0.9,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,C_camera_geometry,2000,1000,1000,0.9833369999999999,0.984805570073246,0.034,0.881,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,D_pose_aligned_geometry,2000,1000,1000,0.984952,0.986031173742056,0.032,0.875,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,G_camera_geometry_only,2000,1000,1000,0.9796170000000001,0.9821920786267612,0.034,0.878,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,G_pose_aligned_geometry_only,2000,1000,1000,0.979247,0.9806294231548343,0.057,0.885,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,P_pose_only,2000,1000,1000,0.5,0.5,1.0,1.0,development_locked_90_recall
movi_d,normalized_camera_displacement,zero,S_shuffled_pose,2000,1000,1000,0.982156,0.983948905178635,0.041,0.879,development_locked_90_recall
movi_e,temporal_gap,high,A_rgb,665,333,332,0.9144144144144144,0.9277044960244444,0.15060240963855423,0.8048048048048048,development_locked_90_recall
movi_e,temporal_gap,high,B_rgb_2d,665,333,332,0.9680704801186728,0.9712849979773902,0.060240963855421686,0.8708708708708709,development_locked_90_recall
